Porto	CheetahTraj(0.9)	CheetahTraj(0.7)	VQGS+(0.9)	VQGS+(0.7)	Full
1	0.317	0.198	13.18	9.037	48.631
2	0.268	0.171	12.375	8.846	38.62
3	0.179	0.137	10.644	8.12	35.309
4	0.111	0.087	7.006	5.951	31.908
5	0.041	0.033	3.455	2.981	11.323
6	0.011	0.011	2.268	1.933	3.563
7	0.004	0.003	1.738	1.609	1.336
