Porto	CheetahTraj(0.9)	CheetahTraj(0.7)	VQGS+(0.9) 	VQGS+(0.7) 	Full
1	0.746	0.627	15.448	12.419	49.964
2	0.574	0.493	13.004	11.244	37.42
3	0.21	0.195	7.24	5.916	28.829
4	0.054	0.047	3.466	2.941	10.932
5	0.018	0.016	2.151	1.94	3.844
6	0.007	0.006	1.717	1.631	1.797
7	0.002	0.002	1.455	1.437	0.87
